gene_id	DRR357080	DRR357081	DRR357082	DRR357083	DRR357084
ENSG00000000003	493.23150000000004	517.13509	380.80332999999996	438.35915	520.5118100000001
ENSG00000000005	0	0	0	0	0
ENSG00000000419	1348.25088	1456.5518199999997	1234.00057	1250.4070500000003	1559.2807200000002
ENSG00000000457	409.0008	360.92568	285.99964	280.000121492	392.41218
ENSG00000000460	526.2797	558.95151	437.99968	492.84171	515.9041
ENSG00000000938	0	1	0	0	0
ENSG00000000971	51.898379999999996	58.006055575	22.562010000000004	37.166340000000005	19.19302
ENSG00000001036	5	1	4	1	2.999999
ENSG00000001084	1822.6310600000002	2077.11252	15117.025200000004	16012.998940000001	20655.478049999998
ENSG00000001167	556	529	448	490	577
ENSG00000001460	252.01989999999998	172.14150999999998	198.00948	183.01502000000002	217.00239000000002
ENSG00000001461	1878.9780999999998	1865.0745100000001	1473.9939300000003	1649.1082000000001	2042.36371
ENSG00000001497	1172.040330020261	1162.001	1133.99874	1329.9998699999996	1526.0682699999998
ENSG00000001561	14	18	11	8	16
ENSG00000001617	3187.9995899999994	3240.99549	2049.0023300000003	2302.0039400000005	2958.0049400000003
ENSG00000001626	1	1	2	1	2
ENSG00000001629	1334.99739	1507.0040999999999	1126.9999100000002	1182.99914	1562.9979600000001
ENSG00000001630	800.49687	851.5833	715.6122	740.6403	833.28988
ENSG00000001631	904.8589076564277	895.34169841729	663.9218859702648	796.2961201854	973.7381000291243
ENSG00000002016	349.00014	342.33223	241.99976759848997	239.99993	358.40756
ENSG00000002079	7	10	9	27.000034000000003	22
ENSG00000002330	1272.00086	1453.0000699999998	1010.99941	1183.0009500000003	1381.00056
ENSG00000002549	574.00021	561.9998499999999	459.00030999999996	555.00019	696.0003700000001
ENSG00000002586	644.000036	698.999699	767.4993790000001	907.50009	1079.0004800000002
ENSG00000002587	322.0159	357.0648	536.0713	527.12466	636.0003999999999
ENSG00000002726	887.9997000000001	923.0000299999999	153.99963999999997	176.0003	243.99980000000002
ENSG00000002745	20.99996	13.999970000000001	3	5	5.000001
ENSG00000002746	2.03506	0	0	2.02648	0
ENSG00000002822	964.6065099999998	990.6997300000002	830.36645	1048.060464	1254.6671299999998
ENSG00000002834	18326.994720000002	18567.9773	14017.03817	16474.96856	19857.96373
ENSG00000002919	399.17334999999997	480.0056000000001	361.00006	351.99962999999997	391.93558200000007
ENSG00000002933	36.9999923	36.999990000000004	3	6	3
ENSG00000003056	3417.99909	3615.0054200000004	2857.005280469999	3323.0010800000005	3825.9990199999993
ENSG00000003096	548.9993099999999	585.0005799999999	419.00013	433.99997	485.00042
ENSG00000003137	373	369.99969999999996	452.0005	525.9995	575.9995000000001
ENSG00000003147	10	10.000001516000001	14	1	10.0000033
ENSG00000003249	912.0003099999999	1031.0073109999998	726.0008	851.0015299999999	1042.99963
ENSG00000003393	939.0014521954913	1028.40430334	853.4240105334947	947.2865728320235	1198.5953312276715
ENSG00000003400	169.17792999999998	153.06879	79.93833000000001	99.2538	123.00234
ENSG00000003402	716.4257499999999	646.717730274381	496.14835000000005	466.33637	756.228298739
ENSG00000003436	18.0995	25.215	11.641097	9.84339	15.7962
ENSG00000003509	337.09786	335.43229	369.3379	331.99984	471.00021
ENSG00000003756	1378.3178300000002	1300.8923499999992	854.00031	912.9995799999998	1214.9874892999999
ENSG00000003987	0	0	0	0	0
ENSG00000003989	0.999999217747	1	0.999999972843	0	3.9999910104099996
ENSG00000004059	2661.91201	2908.00485	2328.9952300000004	2551.00256	2851.00161
ENSG00000004139	162.51226	151.25291000000001	105.50363	92.1621	158.65903999999998
ENSG00000004142	3112.996	3271.999	3125.998	3679.002	4090.999
ENSG00000004399	69.00000500000002	60.999959	136.999599	146.99986300000003	161.99971
ENSG00000004455	3452.865990045825	3145.0792299999994	3669.0058245016	3793.0922599999994	4175.1219082
ENSG00000004468	1	5.02336	2.9999979999999997	1	1
ENSG00000004478	3709.9991700000005	4006.99811	5448.996930000001	6431.0019999999995	6924.00443
ENSG00000004487	4450.071782409389	4594.084000077245	2841.0218747466	3205.023236629278	3887.23217
ENSG00000004534	955.0003899999999	894.40735	862.0007600000001	845.0005299999999	1124.8161100000002
ENSG00000004660	907.0548	947.0008	1030.99970470039	1194.1124	1581.999
ENSG00000004700	1416.99242	1561.99644	1219.9851199999998	1326.9896399999998	1500.0042799999999
ENSG00000004766	505.00025	499.01074	354.04447999999996	387.00041	502.63298999999995
ENSG00000004776	2.0000020000000003	1	2.0000020000000003	2.999999	2
ENSG00000004777	246.00018	236.99974999999998	113.00008	124.00001999999999	193.99958
ENSG00000004779	1324.99858	1416.9996199999998	1520.99896	1620.00378	1834.9994799999997
ENSG00000004799	14	16	19.000001	27	34
ENSG00000004809	1.5411	2	0	0	1
ENSG00000004838	20.000006000000003	42.000017	6.9999968	8	7
ENSG00000004846	0	0	0	0	1.43956
ENSG00000004848	0	0	0	0	0
ENSG00000004864	646.99978	718.0000899999999	752.00044	840.0000200000001	914.99998
ENSG00000004866	344.99988	320.882683	324.90615	364.99629	401.98227012070595
ENSG00000004897	1574.98856	1587.98267	1445.9981899999996	1627.00353	1885.9500099999998
ENSG00000004939	1.31374	2.00811	3.01062	3.12792	3.05519
ENSG00000004948	0	1	0	0	0
ENSG00000004961	732.9994	821.9995	809.9997000000001	842.0004	974
ENSG00000004975	1860.9946500000005	1892.00231	1446.9966299999996	1617.1441199999997	1903.0041199999998
