	"DRR357080"	"DRR357081"	"DRR357082"	"DRR357083"	"DRR357084"
"ENSG00000000003"	469.00	494.00	353.00	411.00	489.26
"ENSG00000000005"	0.00	0.00	0.00	0.00	0.00
"ENSG00000000419"	1294.01	1412.78	1182.00	1206.00	1508.00
"ENSG00000000457"	384.01	334.00	270.00	262.00	373.00
"ENSG00000000460"	489.92	526.00	404.40	464.00	467.00
"ENSG00000000938"	0.00	0.00	0.00	0.00	0.00
"ENSG00000000971"	55.59	58.02	19.70	34.17	26.19
"ENSG00000001036"	2.00	0.00	3.00	0.00	3.00
"ENSG00000001084"	1667.00	1919.00	13855.45	14752.31	18852.00
"ENSG00000001167"	529.00	495.00	407.00	473.00	537.00
"ENSG00000001460"	234.00	156.00	192.00	170.00	205.00
"ENSG00000001461"	1670.00	1663.00	1321.00	1474.00	1844.00
"ENSG00000001497"	1140.00	1130.99	1106.00	1283.00	1475.99
"ENSG00000001561"	14.00	18.00	11.00	8.00	16.00
"ENSG00000001617"	2896.00	2939.00	1855.00	2121.00	2667.00
"ENSG00000001626"	0.00	0.00	0.00	0.00	0.00
"ENSG00000001629"	1232.00	1411.00	1039.00	1103.00	1463.00
"ENSG00000001630"	877.03	931.62	768.45	822.62	923.37
"ENSG00000001631"	884.81	897.02	673.68	804.54	988.72
"ENSG00000002016"	232.00	225.00	172.00	169.00	246.00
"ENSG00000002079"	6.00	9.00	8.00	22.00	21.00
"ENSG00000002330"	1202.00	1367.00	944.00	1125.00	1313.00
"ENSG00000002549"	574.00	559.00	458.00	555.00	693.00
"ENSG00000002586"	600.50	650.50	714.00	858.00	1005.00
"ENSG00000002587"	294.00	323.00	496.00	477.00	586.00
"ENSG00000002726"	841.00	873.00	143.00	171.00	235.00
"ENSG00000002745"	21.00	14.00	3.00	5.00	5.00
"ENSG00000002746"	1.00	0.00	0.00	1.00	0.00
"ENSG00000002822"	919.52	942.18	783.39	995.67	1177.94
"ENSG00000002834"	16245.00	16510.00	12378.00	14647.00	17536.00
"ENSG00000002919"	383.00	453.00	344.00	346.00	378.00
"ENSG00000002933"	34.00	33.00	1.00	5.00	3.00
"ENSG00000003056"	3142.00	3364.00	2687.00	3080.00	3534.00
"ENSG00000003096"	524.00	563.00	397.00	422.00	468.00
"ENSG00000003137"	350.00	350.00	431.00	503.00	546.00
"ENSG00000003147"	7.00	10.00	12.00	1.00	10.00
"ENSG00000003249"	840.00	960.00	673.00	791.00	966.00
"ENSG00000003393"	904.19	993.40	807.02	904.87	1158.58
"ENSG00000003400"	154.08	159.21	77.00	96.00	128.00
"ENSG00000003402"	744.56	673.05	504.68	481.66	794.10
"ENSG00000003436"	5.00	8.00	3.99	5.01	4.00
"ENSG00000003509"	328.04	328.00	363.00	330.97	459.00
"ENSG00000003756"	1285.00	1201.00	792.00	868.00	1138.00
"ENSG00000003987"	0.00	0.00	0.00	0.00	0.00
"ENSG00000003989"	1.00	0.00	0.00	0.00	1.00
"ENSG00000004059"	2528.87	2757.86	2195.00	2418.64	2704.00
"ENSG00000004139"	133.98	129.29	90.96	83.37	132.17
"ENSG00000004142"	2966.00	3143.00	3011.00	3561.00	3897.00
