gene_id	logFC	logCPM	LR	PValue	FDR	symbol	description
ENSG00000100292	7.2260373223941	8.059293426628605	2826.339377170552	0	0	HMOX1	heme oxygenase 1
ENSG00000187134	6.749280872345019	9.518509895865964	1629.7765269117895	0	0	AKR1C1	aldo-keto reductase family 1 member C1
ENSG00000151632	6.1213961650587985	12.127751075551837	6140.9002554954595	0	0	AKR1C2	aldo-keto reductase family 1 member C2
ENSG00000196139	5.511058800565211	8.744400023630629	5511.369264398755	0	0	AKR1C3	aldo-keto reductase family 1 member C3
ENSG00000198074	4.696938377737505	7.720042204383659	3369.8702535450693	0	0	AKR1B10	aldo-keto reductase family 1 member B10
ENSG00000171903	3.9816943897991552	5.443485493594391	1840.5413467792998	0	0	CYP4F11	cytochrome P450 family 4 subfamily F member 11
ENSG00000140961	3.150451143284909	6.324790785047821	1558.840150062359	0	0	OSGIN1	oxidative stress induced growth inhibitor 1
ENSG00000149021	-2.999247941505436	10.502595047575557	1816.2722493076074	0	0	SCGB1A1	secretoglobin family 1A member 1
ENSG00000087086	2.9126850387753676	11.95053294622687	1763.2254475445134	0	0	FTL	ferritin light chain
ENSG00000102837	-3.8136076672190637	4.72714437882346	1235.689168113674	1.0694024157862454e-270	6.705153146979758e-267	OLFM4	olfactomedin 4
ENSG00000151012	4.582863909908187	4.253612353926918	1108.1215460631477	5.671774502820156e-243	3.232911466607489e-239	SLC7A11	solute carrier family 7 member 11
ENSG00000001084	3.2364439545688337	7.9302265173748605	1077.7844898833205	2.2250704053396453e-236	1.1625992867899647e-232	GCLC	glutamate-cysteine ligase catalytic subunit
ENSG00000091986	-2.441616267527937	6.8479302104602775	1053.318845432684	4.6234660152667393e-231	2.2299332242863424e-227	CCDC80	coiled-coil domain containing 80
ENSG00000291110	2.8228376410946634	7.049868009738842	1045.377814737695	2.4602585277746846e-229	1.1018443549390909e-225	TRIM16L	tripartite motif containing 16 like (pseudogene)
ENSG00000106853	2.2136396156261435	7.830587507984176	1035.3634191045223	3.6954332278892485e-227	1.4506983974525834e-223	PTGR1	prostaglandin reductase 1
ENSG00000290862	3.6315609665875033	6.496958886961333	1035.3599031600606	3.7019416840895273e-227	1.4506983974525834e-223	NMRAL2P	NmrA like redox sensor 2, pseudogene
ENSG00000142657	2.0946560408972004	8.40222627215387	949.3965617657084	1.7943866665650358e-208	6.6181202349192785e-205	PGD	phosphogluconate dehydrogenase
ENSG00000143819	2.0405076062238545	6.943521217758137	941.920843865706	7.567641699656503e-207	2.636061858713682e-203	EPHX1	epoxide hydrolase 1
ENSG00000181019	2.602788836869053	9.330542466757633	920.0045398403962	4.396699722495456e-202	1.4509109084235005e-198	NQO1	NAD(P)H quinone dehydrogenase 1
ENSG00000198431	2.7215387547014265	6.980296712932348	887.2445421925843	5.8173593458483236e-195	1.8237421549234494e-191	TXNRD1	thioredoxin reductase 1
ENSG00000160211	2.2158253097925167	8.363143316501107	845.9190627852961	5.607550743519474e-186	1.674254436279386e-182	G6PD	glucose-6-phosphate dehydrogenase
ENSG00000187193	-1.7036856396426843	8.453484710470708	786.3646828816501	4.973432813728918e-173	1.4174283519127415e-169	MT1X	metallothionein 1X
ENSG00000271303	2.978013639170978	7.106473464722433	672.4659116608184	2.9063247007362316e-148	7.922893858093988e-145	SRXN1	sulfiredoxin 1
ENSG00000085662	1.652537101022495	7.522922450749087	663.0727437380921	3.2069345690327537e-146	8.37811656159807e-143	AKR1B1	aldo-keto reductase family 1 member B
ENSG00000156284	-2.0912360868399036	4.635534366002867	615.595194616417	6.7887802688340884e-136	1.7026260914235894e-132	CLDN8	claudin 8
ENSG00000210082	-1.5563206279836967	13.861306855848706	600.1202895591505	1.576286299102382e-132	3.801275036681513e-129	MT-RNR2	mitochondrially encoded 16S rRNA
ENSG00000267056	3.838780812238017	3.4659350995600913	596.8221776459623	8.222496844620982e-132	1.9094464894730946e-128	NA	NA
ENSG00000156510	6.219442566550104	3.013494084849959	591.5822375252744	1.1343596691082364e-130	2.5401554018959434e-127	HKDC1	hexokinase domain containing 1
ENSG00000167996	1.298316439209599	14.932529296193795	577.0273905492577	1.6622128219803366e-127	3.593818756488521e-124	FTH1	ferritin heavy chain 1
ENSG00000125148	-1.5490786902907494	10.580566284575353	574.2897869022986	6.5490577151914305e-127	1.368753062475009e-123	MT2A	metallothionein 2A
ENSG00000023909	2.5004801610027445	5.932785814902239	574.083570131658	7.261660467140507e-127	1.4687293912571282e-123	GCLM	glutamate-cysteine ligase modifier subunit
ENSG00000109511	5.065899267615632	3.804392846838735	566.5863390660778	3.1037273644299493e-125	6.081365804679932e-122	ANXA10	annexin A10
ENSG00000136810	2.1413455368953374	11.614537478178026	524.8285345411618	3.7673806332657954e-116	7.158023203205011e-113	TXN	thioredoxin
ENSG00000066382	-1.6311542753398183	4.901114452925473	513.3965642508468	1.1567094870830406e-113	2.1331083776501953e-110	MPPED2	metallophosphoesterase domain containing 2
ENSG00000175065	-2.0856892889319734	5.154884843118908	470.91142963455434	2.0297164483592704e-104	3.6360920374893216e-101	DSG4	desmoglein 4
